Timestamp dT0 sum(dT0) dT1 sum(dT1) dT2 sum(dT2) L0 L1N L1S L2 30S(Tg) 15S(Tg) 15N(Tg) 30N(Tg)
2035 0.2147 0.2147 0.0799 0.0799 0.035 0.035 0.0201 0 0 0 0. 0.602 0.602 0.
2036 0.257370682945 0.472070682945 0.0329545518102 0.11285455181 -0.000574879127343 0.0344251208727 0.0404567804199 0.00167652284801 0 0.00107353057988 0.04294122 1.3951489 1.52256464 0.04461775
2037 0.0793171517941 0.551387834739 0.0353130543943 0.148167606204 -0.00802535658524 0.0263997642875 0.0501215898854 0.00373018969558 0 0 0. 1.71648181 1.99997622 0.00373019
2038 -0.0164003604671 0.534987474272 -0.0155961268187 0.132571479385 -0.0290006138362 -0.0026008495487 0.0580945646105 0.00196184020369 0 0 0. 2.0769108 2.22601066 0.00196184
2039 -0.229742585234 0.305244889038 -0.0819038648358 0.0506676145492 -0.0102901194341 -0.0128909689828 0.0550450424545 0 0.00274179396221 0 0.07677023 2.05860092 1.93522019 0.
2040 -0.0848244858127 0.220420403225 -0.08884755623 -0.0381799416808 -0.0282570870918 -0.0411480560746 0.0635991444844 0 0.0119787779226 0 0.33540578 2.44899857 1.90995356 0.
2041 -0.0830216121428 0.137398791082 -0.045924467512 -0.0841044091928 -0.0128380623157 -0.0539861183903 0.0665849503773 0 0.010759088201 0 0.30125447 2.54971587 2.0655569 0.
2042 -0.473915244422 -0.33651645334 -0.136597081382 -0.220701490575 0.0176547619713 -0.036331356419 0.0416749473492 0 0.0124788982482 0.0230242709726 1.27037999 0.78990621 0.22835579 0.92097084
2043 -0.507003770738 -0.843520224078 -0.103509401269 -0.324210891844 0.0519822668565 -0.036331356419 0.0283248545565 0 0.00816801096367 0.0201568435928 1.03497805 0.36756049 2.22044605e-16 0.80627374
2044 -0.431899110266 -1.27541933434 -0.052880863561 -0.377091755405 0.0144867085389 -0.036331356419 0.0215001651263 0 0.00198666989409 0.0195134952322 0.83616657 0.08940015 0. 0.78053981
2045 -0.145607724741 -1.42102705908 -0.0506397294214 -0.427731484826 -0.0197158218828 -0.036331356419 0.0323856964328 0 0.00813525328084 0.024250443152 1.19780482 0.3660864 0. 0.97001773
2046 0.02174691243 -1.39928014665 -0.0199938856617 -0.447725370488 -0.0298188350512 -0.0661501914702 0.0449949045811 0 0.0106991684189 0.0190978468635 1.06349059 1.04378448 0.5623219 0.76391387
2047 0.015541565897 -1.38373858075 0.0376161819474 -0.410109188541 0.0452867992483 -0.0661501914702 0.0512044669729 0 0.00369481653204 0.0475096504408 2.00384088 0.16626674 0. 1.90038602
2048 -0.175098139468 -1.55883672022 -0.0689043605862 -0.479013549127 0.0774537534787 -0.0661501914702 0.0440613926794 0 0.010394178099 0.0336672145804 1.63772557 0.46773801 0. 1.34668858
